fips,units_all,units_hcv
13275,760,83.0
13277,692,68.0
13279,422,21.0
13281,4,4.0
13283,121,1.0
13285,1177,83.0
13287,200,21.0
13289,3,3.0
13291,145,7.0
13293,565,36.0
13295,446,55.0
13297,828,308.0
13299,670,107.0
13301,111,13.0
13303,326,10.0
13305,320,7.0
13307,1,1.0
13309,87,1.0
13311,73,4.0
13313,300,9.0
13315,29,1.0
13317,209,9.0
13319,93,9.0
13321,296,39.0
15001,3475,2257.0
15003,16065,9494.0
15007,1612,1174.0
15009,2411,1560.0
16001,3310,2210.0
16003,1,1.0
16005,1124,824.0
16007,55,2.0
16009,40,4.0
16011,207,119.0
16013,69,29.0
16015,21,7.0
16017,164,92.0
16019,1200,918.0
16021,27,8.0
16023,1,1.0
16025,1,1.0
16027,1307,956.0
16029,36,2.0
16031,152,96.0
16035,34,34.0
16037,2,2.0
16039,133,32.0
16041,29,3.0
16043,58,12.0
16045,55,25.0
16047,42,12.0
16049,74,42.0
16051,47,19.0
16053,153,53.0
16055,1702,1176.0
16057,246,196.0
16059,51,19.0
16061,89,36.0
16063,22,2.0
16065,181,81.0
16067,90,28.0
16069,761,359.0
16071,11,
16073,20,20.0
16075,107,27.0
16077,48,8.0
16079,181,17.0
16081,7,7.0
16083,976,547.0
16085,13,13.0
16087,74,3.0
17001,1146,349.0
17003,244,49.0
17005,231,40.0
17007,641,294.0
17009,128,
17011,379,86.0
17013,43,
17015,103,6.0
17017,102,4.0
17019,3004,2310.0
17021,681,239.0
17023,119,4.0
17025,211,
17027,232,75.0
17029,1050,302.0
17031,128862,76077.0
17033,45,37.0
17035,94,2.0
17037,1747,606.0
17039,257,
17041,54,46.0
17043,6712,3995.0
17045,299,79.0
17047,75,
17049,472,2.0
17051,42,14.0
17053,111,1.0
17055,793,78.0
17057,755,264.0
17059,123,2.0
17061,137,
17063,386,281.0
17065,78,
17067,90,
17069,147,
17071,29,1.0
17073,690,185.0
17075,41,
17077,1912,720.0
17079,66,30.0
17081,797,168.0
17083,418,197.0
17085,160,39.0
17087,139,
17089,4590,1909.0
17091,1623,859.0
17093,394,238.0
17095,1246,301.0
17097,8944,4896.0
17099,1585,375.0
17101,213,32.0
17103,420,42.0
17105,494,101.0
17107,403,62.0
17109,805,216.0
17111,1632,996.0
17113,2062,775.0
17115,2970,1249.0
17117,407,114.0
17119,3384,1223.0
17121,727,221.0
17123,66,18.0
17125,169,143.0
17127,338,9.0
17129,288,130.0
17131,100,39.0
17133,6,6.0
17135,322,93.0
17137,779,187.0
17139,52,31.0
17141,534,145.0
17143,5690,2142.0
17145,345,4.0
17147,68,
17149,260,
17151,122,
17153,161,5.0
17157,272,54.0
17159,227,86.0
17161,4484,1271.0
17163,5908,2696.0
17165,569,60.0
17167,4182,2424.0
17169,19,4.0
17171,117,12.0
17173,179,39.0
17175,28,4.0
17177,838,329.0
17179,1667,303.0
17181,358,6.0
17183,2443,963.0
17185,167,11.0
17187,373,85.0
17189,13,13.0
17191,285,73.0
17193,152,2.0
17195,802,299.0
17197,4367,2623.0
17199,1545,373.0
17201,6394,2983.0
17203,490,242.0
18001,365,180.0
18003,5664,3444.0
18005,1473,818.0
18007,20,20.0
18009,168,26.0
18011,332,136.0
18013,115,115.0
18015,52,42.0
18017,661,318.0
18019,2104,665.0
18021,408,120.0
18023,148,52.0
18025,105,20.0
18027,614,189.0
18029,372,167.0
18031,359,156.0
18033,115,43.0
18035,2171,1150.0
18037,383,75.0
18039,2553,993.0
18041,342,162.0
18043,1640,880.0
18045,55,35.0
18047,10,9.0
18049,76,76.0
18051,379,81.0
18053,1513,524.0
18055,483,270.0
18057,739,403.0
18059,245,141.0
18061,152,65.0
18063,481,317.0
18065,688,319.0
18067,1739,1139.0
18069,225,98.0
18071,459,183.0
18073,81,27.0
18075,89,53.0
18077,497,132.0
18079,89,67.0
18081,827,430.0
18083,1256,546.0
18085,490,323.0
18087,56,8.0
18089,10242,5127.0
18091,1327,409.0
18093,556,227.0
18095,2354,1729.0
18097,16716,9063.0
18099,358,86.0
18101,40,40.0
18103,413,222.0
18105,2264,1792.0
18107,727,487.0
18109,532,118.0
18111,10,4.0
18113,427,35.0
18115,24,24.0
18117,250,79.0
18119,94,26.0
18121,193,133.0
18123,445,153.0
18125,97,31.0
18127,725,482.0
18129,407,207.0
18131,2,2.0
18133,320,212.0
18135,233,206.0
18137,82,26.0
18139,105,26.0
18141,5978,3088.0
18143,334,192.0
18145,357,212.0
18147,187,24.0
18149,25,1.0
18151,322,24.0
18153,294,44.0
18155,12,12.0
18157,2831,1409.0
18159,7,7.0
18161,60,9.0
18163,4020,2931.0
18165,187,42.0
18167,2252,1007.0
18169,240,24.0
18171,25,25.0
18173,234,113.0
18175,155,106.0
18177,1371,333.0
18179,183,40.0
18181,115,51.0
18183,114,42.0
19001,62,26.0
19003,66,4.0
19005,74,56.0
19007,259,103.0
19009,20,20.0
19011,78,5.0
19013,2540,1686.0
19015,162,80.0
19017,207,106.0
19019,74,74.0
19021,220,98.0
19023,41,41.0
19025,103,103.0
19027,339,281.0
19029,186,157.0
19031,51,36.0
19033,988,644.0
19035,116,54.0
19037,44,44.0
19039,132,51.0
19041,375,233.0
19043,101,91.0
19045,797,534.0
19047,221,112.0
19049,493,453.0
19051,26,5.0
19053,128,35.0
19055,119,58.0
19057,1071,421.0
19059,180,180.0
19061,1734,1268.0
19063,67,67.0
19065,243,202.0
19067,390,222.0
19069,73,38.0
19071,93,33.0
19073,98,50.0
19075,21,21.0
19077,84,84.0
19079,95,90.0
19081,69,63.0
19083,53,53.0
19085,315,159.0
19087,190,118.0
19089,58,55.0
19091,60,60.0
19093,43,43.0
19095,7,2.0
19097,294,124.0
19099,348,125.0
19101,334,210.0
19103,2096,1405.0
19105,139,93.0
19107,64,34.0
19109,153,66.0
19111,644,268.0
19113,2466,1306.0
19115,59,59.0
